Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Gheorgheni,145000,,False,True,2, 46, 4/4, Semidec
Iris,119900,,False,True,1, 37, 3/10, Dec
Someseni,172000,,False,True,3, 54, 1/6, Semidec
Manastur,139000,,False,True,4, 70, 8/10, Dec
Marasti,209900,,False,True,2, 55.22, 3/6, Semidec
Marasti,130000,,False,True,3, 64, 4/4, Dec
Manastur,170000,,False,True,4, 78, 3/4, Dec
Faget,111500,,False,True,3, 57, 1/4, Semidec
Marasti,135000,,False,True,2, 54, 2/2, Dec
Buna Ziua,256000,,False,True,3, 77, 1/12, Semidec
Manastur,150000,,False,True,3, 67, 6/10, Semidec
Manastur,150000,,False,True,3, 67, 6/10, Semidec
Manastur,180000,,False,True,3, 110, 3/3, Semidec
Zorilor,184500,,False,True,2, 55, 2/5, Semidec
Marasti,170000,,False,True,3, 64.5, 4/4, Dec
Gheorgheni,235000,,False,True,3, 74, 2/7, Dec
Manastur,220000,,False,True,4, 100, Parter/10, Dec
Dambul Rotund,142000,,False,True,3, 54, 2/3, Semidec
Manastur,110000,,False,True,2, 40, 10/10, Dec
Marasti,172645,,True,True,3, 80.3, 1/3, Semidec
Marasti,191500,,False,True,3, 95.75, 1/3, Semidec
Marasti,138000,,False,True,3, 50, 4/5, Dec
Europa,273000,,True,True,3, 98, 1/3, Semidec
Buna Ziua,219300,,False,True,2, 56, Parter/6, Dec
Europa,235000,,False,True,3, 74, 2/7, Dec
Zorilor,320085,,True,True,5, 117, 4/4, Semidec
Zorilor,300000,,False,True,3, 90, 1/2, Dec
Central,199900,,False,True,2, 65, 2/2, Semidec
Ultracentral,260000,,False,True,2, 80.39, 4/5, Semidec
Gruia,215000,,False,True,2, 70, Parter/1, Semidec
Europa,178000,,False,True,4, 73, Demisol/4, Semidec
Buna Ziua,192544,,True,True,3, 87.52, Parter/6, Semidec
Buna Ziua,165000,,False,True,2, 66, 4, Dec
Central,350000,,False,True,6, 105, Parter/1, Dec
Dambul Rotund,159000,,False,True,2, 54, 6/6, Semidec
Buna Ziua,154900,,False,True,2, 52, 1/6, Dec
Gheorgheni,72000,,False,True,1, 28, 8/10, Semidec
Zorilor,205000,,False,True,3, 63, Parter/4, Dec
Marasti,125000,,False,True,2, 52, Parter/4, Dec
Central,184000,,False,True,2, 69, 1, Semidec
Manastur,81000,,False,True,1, 30, Parter/10, Semidec
Grigorescu,145000,,False,True,3, 55, 4/4, Semidec
Buna Ziua,165000,,False,True,2, 65, 4/6, Semidec
Horea,135000,,False,True,2, 47, 4/4, Semidec
P-ta Mihai Viteazul,147000,,False,True,2, 48, 3/4, Dec
Europa,262500,Comision 0%,False,True,3, 76.6, 2/3, Dec
Manastur,149000,,False,True,3, 68, 4/4, Dec
Gara,155000,,False,True,3, 64, 4/5, Semidec
Manastur,176000,,False,True,4, 79, 1/4, Dec
Manastur,117000,,False,True,2, 51, 3/10, Dec
Plopilor,235000,,False,True,4, 100, Parter/10, Dec
Calea Turzii,181000,,False,True,2, 85, 4/4, Semidec
Aurel Vlaicu,160000,,False,True,3, 64, 4/4, Dec
Borhanci,149000,,False,True,2, 63, Parter, Dec
Gheorgheni,149000,,False,True,3, 60, 4/4, Dec
Manastur,170000,,False,True,4, 72, 3/4, Dec
Andrei Muresanu,450000,,False,True,6, 148, 1/2, Dec
Central,380000,,False,True,3, 93, 1/3, Semidec
Manastur,153024,,False,True,3, 68, 1/2, Semidec
Central,103000,,False,True,1, 39, 4/4, Dec
Manastur,135000,Comision 0%,False,True,3, 65.72, 3/10, Dec
Intre Lacuri,170000,,False,True,2, 48.52, Parter/6, Semidec
Aurel Vlaicu,245000,,False,True,3, 95, 1/3, Semidec
Iris,95000,,False,True,1, 36, 10/10, Semidec
Dambul Rotund,116500,,False,True,3, 50, Parter/4, Semidec
Gruia,159900,,False,True,3, 70, 2/4, Dec
Manastur,180000,,False,True,4, 72, 4/4, Semidec
Manastur,180000,,False,True,3, 67, 1/10, Dec
Manastur,179990,,False,True,4, 83, 2/4, Dec
Ultracentral,410000,,False,True,3, 121, 3/4, Dec
Manastur,175000,,False,True,4, 78, 1/4, Dec
Marasti,179000,,False,True,3, 66, 3/4, Dec
Europa,167000,,False,True,3, 61, Parter/4, Semidec
Manastur,130000,,False,True,3, 68, Parter/4, Dec
Manastur,89000,,False,True,1, 36, Parter/8, Dec
Manastur,132000,,False,True,3, 64, 2/10, Dec
Gheorgheni,235000,,False,True,3, 60, 5/7, Semidec
Manastur,82500,,False,True,1, 28, 1/10, Semidec
Manastur,137000,,False,True,3, 72, 4/4, Semidec
Andrei Muresanu,245000,,False,True,3, 89, Parter/3, Semidec
Gheorgheni,140000,,False,True,3, 61, 4/4, Dec
Manastur,235000,,False,True,4, 105, 9/10, Dec
Manastur,125000,,False,True,4, 56, Parter/4, Semidec
Campului,160000,,False,True,4, 76, 2/4, Dec
Central,167000,,False,True,3, 66.88, 1/4, Semidec
Manastur,120000,,False,True,2, 47, Parter/10, Semidec
Zorilor,120000,Comision 0%,False,True,1, 42.47, 2/10, Semidec
Gruia,43000,,False,True,1, 18.17, 1/2, Nedec
Manastur,155000,,False,True,3, 65, 4/4, Dec
Ultracentral,230000,,True,True,2, 58.2, 3/4, Semidec
Intre Lacuri,127000,,False,True,2, 50.5, 4/8, Dec
Vest,136900,Comision 0%,False,True,2, 52, 3/4, Dec
Manastur,150000,,False,True,3, 70, 6/10, Semidec
Calea Turzii,184500,,False,True,2, 55, 2/5, Semidec
Gheorgheni,150000,,False,True,3, 70, 4/4, Semidec
Iris,135000,,False,True,2, 58, 2/4, Dec
Gheorgheni,365000,,False,True,4, 120, 6/7, Dec
Manastur,175000,,False,True,4, 73.33, 2/4, Dec
Manastur,100000,,False,True,3, 47, 4/4, Semidec
Zorilor,230000,,False,True,3, 80, 3/10, Semidec
Europa,177000,,False,True,4, 72, Demisol/2, Nedec
Zorilor,320000,,False,True,5, 117, 4/4, Semidec
Buna Ziua,165000,,False,True,2, 52, Parter/4, Semidec
Intre Lacuri,108000,,False,True,2, 55.53, 2/6, Semidec
Europa,165000,,False,True,2, 56, Parter/5, Semidec
Europa,165000,,False,True,2, 56, Parter/5, Semidec
Manastur,139980,,False,True,3, 64, 4/4, Dec
Manastur,210000,,False,True,4, 169, Parter, Dec
Marasti,150000,,False,True,2, 50.2, 4/6, Semidec
Iris,95000,Comision 0%,False,True,2, 47, Parter/1, Dec
Central,120000,,False,True,2, 47, 1/1, Semidec
Manastur,173000,,False,True,2, 58, 2/6, Semidec
Marasti,189000,,False,True,3, 65.88, 9/9, Semidec
Zorilor,299000,,False,True,4, 120, 2/3, Dec
Central,400000,,False,True,4, 90, 1/4, Semidec
Marasti,85000,,False,True,2, 49, Mansarda/4, Dec
Marasti,160000,,False,True,3, 66, Parter/4, Dec
Manastur,199500,,False,True,4, 94, 5/8, Dec
Manastur,112000,,False,True,2, 45, 1/10, Dec
Semicentral,185900,,False,True,3, 74.55, 6/6, Semidec
Zorilor,205000,Comision 0%,False,True,3, 63, Parter/4, Dec
Zorilor,205000,,False,True,3, 63, Parter/4, Dec
Zorilor,205000,,False,True,3, 63, Parter/4, Dec
Grigorescu,289000,,False,True,3, 91, Parter/2, Dec
Gara,107000,,False,True,1, 38, 5/6, Semidec
Buna Ziua,184500,,False,True,2, 55, 2/5, Semidec
Marasti,209500,,False,True,3, 68, 1/4, Dec
Buna Ziua,300000,,False,True,3, 85, 8/9, Dec
Semicentral,115000,,False,True,1, 35, Parter, Dec
Manastur,179000,,False,True,3, 73, 2/3, Semidec
Manastur,150000,,False,True,2, 52, 2/3, Dec
Marasti,310000,,False,True,3, 73, 6/6, Semidec
Central,187100,,True,True,4, 91, 5/6, Semidec
Marasti,199999,,False,True,4, 76, 1/8, Dec
Intre Lacuri,199000,Comision 0%,False,True,3, 65, 6/6, Semidec
Marasti,200000,,False,True,4, 76, 1/8, Dec
Iris,172000,,True,True,3, 76.61, 9/9, Dec
Nord,133000,,False,True,1, 42, 4/6, Semidec
Marasti,197000,,False,True,2, 52, 2/3, Semidec
Dambul Rotund,150000,,False,True,3, 70, 5/6, Semidec
Someseni,76000,Comision 0%,False,True,1, 43, 4/5, Dec
Central,164990,,False,True,2, 55, Parter/1, Semidec
Central,265000,,False,True,3, 98, 1/8, Semidec
Faget,117250,,False,True,3, 67, 1/4, Semidec
Central,179000,,False,True,2, 75, 1/1, Dec
Central,155000,,False,True,2, 50, Parter/1, Semidec
Central,155000,,False,True,2, 49, Parter/1, Semidec
Grigorescu,220000,,False,True,2, 68, Parter/10, Semidec
Manastur,120000,,False,True,2, 51, 3/10, Dec
Europa,167000,,False,True,2, 61, Parter/4, Dec
Ultracentral,195000,,False,True,2, 67.91, 1/1, Semidec
Manastur,117000,,False,True,2, 50, 1/10, Dec
Central,140400,,True,True,2, 54, 1/5, Dec
Dambul Rotund,115000,,False,True,2, 50, 3/3, Semidec
Dambul Rotund,114900,,False,True,2, 40, 1/2, Dec
Manastur,136000,,False,True,3, 51, 3/4, Semidec
Central,410000,,False,True,3, 121, 3/4, Dec
Gheorgheni,270000,,False,True,3, 77, 2/4, Dec
Europa,167000,,False,True,3, 71.5, Parter/2, Semidec
Zorilor,119000,,False,True,2, 52, Parter/4, Dec
Marasti,80000,,False,True,1, 33, Parter/1, Semidec
Manastur,95000,,False,True,2, 40, 4/4, Dec
Plopilor,250000,,False,True,4, 160, Parter/8, Semidec
Marasti,140000,,False,True,2, 62.6, Mansarda/5, Semidec
Zorilor,115000,,False,True,1, 40, Parter/3, Semidec
Grigorescu,120000,,False,True,2, 52, Parter/4, Dec
Europa,280000,,False,True,4, 93.47, Parter/3, Semidec
Zorilor,299000,,False,True,4, 120, 2/3, Semidec
Zorilor,299000,,False,True,4, 118, 2/4, Semidec
Gheorgheni,112317,Comision 0%,False,True,1, 37, 4, Semidec
Vest,199000,,False,True,3, 63, 3/3, Semidec
Manastur,169000,,False,True,3, 65, 3/4, Dec
Europa,160000,,False,True,2, 56, Parter/5, Semidec
Iris,95000,,False,True,2, 41, 10/10, Semidec
Sopor,269000,,False,True,3, 100, 7/7, Semidec
Zorilor,296000,,False,True,3, 82, Parter/10, Dec
Buna Ziua,184500,,False,True,2, 55, 2/5, Semidec
Buna Ziua,184500,,False,True,2, 55, 2/4, Semidec
Calea Turzii,184500,,False,True,2, 55, 2/5, Dec
Borhanci,125000,,False,True,2, 57, 1/2, Semidec
Marasti,76000,,False,True,1, 32, 4/4, Semidec
Central,170000,,False,True,2, 50, 3/3, Dec
Andrei Muresanu,117000,,False,True,1, 38, 3/3, Semidec
Manastur,112500,,False,True,2, 58, Parter/3, Semidec
Zorilor,121500,,False,True,2, 52, Parter/4, Dec
Marasti,150000,,False,True,3, 62, Parter/4, Dec
Grigorescu,115000,,False,True,2, 50, 7/10, Dec
Gheorgheni,140000,,False,True,3, 60, 4/4, Dec
Manastur,172000,,False,True,4, 79, 3/4, Dec
Europa,147500,,False,True,2, 54.8, 1/3, Semidec
Campului,130000,,False,True,3, 60, 1/2, Semidec
Marasti,159000,,False,True,3, 65, 11/11, Semidec
Vest,95000,,False,True,2, 48, 3/6, Semidec
Europa,178000,,False,True,3, 72, Demisol/3, Semidec
Buna Ziua,305000,,False,True,3, 85, 8/8, Dec
Grigorescu,165000,,False,True,2, 51.23, Parter/4, Dec
Grigorescu,165000,,False,True,2, 51, Parter/4, Dec
Manastur,129000,,False,True,2, 50, 7, Dec
Central,189000,,False,True,3, 55, 1/1, Dec
Marasti,210000,,False,True,3, 67.72, 7/8, Semidec
Central,200000,,False,True,2, 64, 1/1, Semidec
Calea Turzii,146000,,False,True,2, 58, 2/8, Dec
Buna Ziua,240000,,False,True,3, 82, Parter/8, Dec
Grigorescu,177000,,False,True,3, 84, 4/4, Dec
Buna Ziua,165000,,False,True,2, 52, Parter/4, Semidec
Marasti,130000,,False,True,2, 54, Parter, Semidec
Borhanci,229023,Comision 0%,True,True,3, 76.46, 3/3, Semidec
Europa,167000,,False,True,4, 72, Demisol/3, Semidec
Central,170000,,False,True,3, 126, 2/3, Dec
Marasti,295000,,False,True,3, 71, 6/10, Dec
Central,96800,,False,True,2, 44, 2/4, Semidec
Marasti,200000,,False,True,4, 78, 1/8, Dec
Zorilor,155000,,False,True,2, 47, Parter/3, Semidec
Gheorgheni,160000,,False,True,2, 64, 4, Dec
Borhanci,149999,,False,True,2, 56, 1/3, Dec
Manastur,229000,Comision 0%,False,True,4, 96.6, 3/8, Dec
Manastur,179000,,False,True,3, 66, 2/10, Dec
Campului,136000,,False,True,3, 51, 3, Semidec
Marasti,195000,,False,True,3, 66, 9/9, Semidec
Zorilor,180000,,False,True,4, 76, 3/4, Dec
Manastur,190000,,False,True,4, 70, 4/4, Semidec
Buna Ziua,135000,,False,True,2, 54, Parter/4, Semidec
Manastur,120070,Comision 0%,True,True,2, 52.85, 1/4, Dec
Manastur,175000,,False,True,4, 78, 2/4, Dec
Gheorgheni,135000,Comision 0%,False,True,2, 47, 8/10, Semidec
Europa,420000,,False,True,3, 140, Parter/3, Semidec
Manastur,150000,,True,True,3, 68, 8/8, Semidec
Zorilor,299000,,False,True,4, 118, 2/3, Semidec
Iris,165000,,False,True,3, 62, Parter/4, Dec
Buna Ziua,178000,,False,True,2, 70, 4/4, Dec
Marasti,91000,,False,True,1, 32, 4/4, Dec
Zorilor,260000,,False,True,4, 110, 1/2, Semidec
Iris,95000,,False,True,1, 37, 10/11, Dec
Iris,94990,,False,True,1, 37, 10/11, Dec
Central,183000,,False,True,1, 46, 1/3, Semidec
Manastur,169000,,False,True,3, 80, 8/8, Dec
Iris,57000,,False,True,1, 34, 4/4, Dec
Zorilor,359000,,False,True,6, 184, 3/4, Semidec
Central,145000,,False,True,1, 39, 1/4, Semidec
Manastur,145000,,False,True,3, 65, 6/10, Semidec
Manastur,124000,,False,True,2, 44, 3/4, Dec
Central,340000,,False,True,3, 153, 1/1, Dec
Manastur,160000,,False,True,4, 76, 2/4, Dec
Europa,175000,,False,True,2, 60, Parter/6, Semidec
Borhanci,335000,,False,True,4, 115, Parter/2, Semidec
Zorilor,299000,,False,True,4, 152, 2/4, Dec
Marasti,210000,,False,True,3, 76, 4/4, Semidec
Manastur,169000,,False,True,3, 64, 3/4, Semidec
Manastur,139000,,False,True,3, 54, 7/7, Semidec
Manastur,150000,,False,True,3, 67, 6/10, Semidec
Manastur,205000,,False,True,3, 65, 5/8, Dec
Faget,113750,,False,True,3, 65, 1/4, Semidec
Borhanci,143500,,False,True,3, 59, Parter/3, Semidec
Central,195800,,True,True,3, 77, 2/7, Semidec
Zorilor,150000,,False,True,2, 54, Parter/4, Semidec
Someseni,209000,,False,True,5, 125, 1/1, Dec
Manastur,159900,,False,True,3, 61, 2/3, Semidec
Central,110000,,False,True,1, 37, 4/5, Dec
Europa,178500,,False,True,2, 61, Parter/3, Semidec
Marasti,185000,,False,True,3, 79, 1/6, Dec
Manastur,157000,,False,True,4, 79, 4/4, Dec
Campului,210000,,False,True,4, 169, 2/2, Semidec
Manastur,175000,,False,True,4, 77, 2/4, Dec
Manastur,172000,,False,True,3, 66, 2/10, Dec
Gheorgheni,105000,,False,True,1, 28, Parter/4, Dec
Campului,169000,Comision 0%,False,True,3, 80, 8/8, Dec
Semicentral,125000,Comision 0%,False,True,2, 46.6, 1/5, Dec
Marasti,180000,,False,True,4, 90, Parter/4, Dec
Grigorescu,124900,,False,True,2, 56, 1/3, Semidec
Manastur,119000,,False,True,2, 51, 6/10, Dec
Central,199999,,False,True,1, 55.4, 1/1, Semidec
Grigorescu,100000,,False,True,2, 50.12, 10/10, Dec
Iris,140000,,False,True,2, 53, 2/2, Semidec
Iris,139999,,False,True,2, 53, 2/2, Semidec
Iris,159000,,False,True,2, 54, 2/5, Dec
Ultracentral,240000,,False,True,3, 78, Parter/1, Semidec
Manastur,82000,,False,True,1, 37, 1/2, Dec
Manastur,173000,,False,True,2, 58, 2/6, Semidec
Marasti,129000,,False,True,2, 40, 5/9, Semidec
Manastur,109980,,False,True,2, 58, 1/4, Semidec
Semicentral,170000,,False,True,3, 55, 1/2, Dec
Manastur,115000,,False,True,3, 51, 4/4, Semidec
Horea,129000,,False,True,2, 47, 1/5, Dec
Marasti,185000,,False,True,3, 58, Parter/4, Dec
Zorilor,147000,,False,True,2, 42, 1/3, Semidec
Central,163900,Comision 0%,True,True,3, 73.47, 1/4, Dec
Marasti,185000,,False,True,3, 65, 5/8, Dec
Marasti,200000,,False,True,4, 78, 1/8, Dec
Marasti,200000,,False,True,4, 76, 1/8, Dec
Central,160000,,False,True,3, 60, Parter/4, Semidec
Manastur,95000,,False,True,2, 37, 1/4, Semidec
Gheorgheni,289000,,False,True,3, 114, 1/8, Semidec
Horea,115000,,False,True,2, 47, 4/4, Semidec
Plopilor,215000,,False,True,3, 73, 7/8, Dec
Gheorgheni,159000,,False,True,3, 60, 2/4, Dec
Dambul Rotund,47000,,False,True,1, 22, 1/4, Semidec
Iris,295000,,False,True,3, 66, 6/6, Semidec
Semicentral,134200,Comision 0%,True,True,2, 52.17, Parter/6, Semidec
Borhanci,155000,,False,True,2, 59, Parter, Dec
Central,379990,Comision 0%,False,True,4, 99, Parter/2, Dec
Central,149000,,False,True,2, 49, Parter/2, Semidec
Buna Ziua,220000,,False,True,3, 70, 2/8, Dec
Zorilor,75000,,False,True,1, 25, 4/4, Semidec
Dambul Rotund,172000,,False,True,4, 93, 4/5, Semidec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Someseni,190000,Comision 0%,True,True,3, 95, 2/3, Semidec
Manastur,107000,,False,True,3, 61, 5/5, Semidec
Europa,369000,,False,True,4, 92.56, 1/2, Semidec
Iris,127000,,False,True,2, 47, 1/2, Semidec
Someseni,93500,,False,True,2, 51, 2/3, Semidec
Manastur,166885,Comision 0%,True,True,3, 73.85, 3/4, Semidec
Zorilor,359000,,False,True,6, 184, 3/3, Dec
Iris,170000,,False,True,3, 62, 1/3, Semidec
Grigorescu,220000,,False,True,2, 68, 6/10, Semidec
Manastur,136406,,False,True,3, 76.09, 2/2, Semidec
Exterior Vest,105000,,False,True,3, 65, 1/4, Semidec
Semicentral,155900,Comision 0%,True,True,3, 70.48, 2/6, Dec
Zorilor,262000,,False,True,3, 114, 3/6, Semidec
Plopilor,165000,,False,True,3, 65, 4/4, Dec
Iris,95000,,False,True,1, 41, 10/10, Dec
Europa,149664,,True,True,2, 62.36, 2/6, Semidec
Semicentral,188000,,False,True,3, 75, 6/6, Dec
Manastur,165000,,False,True,3, 66, 4/10, Dec
Gruia,258000,,False,True,3, 170, Parter/1, Dec
Manastur,162000,,False,True,3, 69, 3/4, Dec
Manastur,98000,,False,True,2, 40, Parter/4, Dec
Gheorgheni,120000,,False,True,1, 38, 10/10, Dec
Manastur,150000,,False,True,3, 67, 6/10, Semidec
Zorilor,295000,,False,True,3, 82, Parter/10, Semidec
Zorilor,295000,,False,True,3, 82, Parter/10, Semidec
Marasti,138000,,False,True,3, 62, Parter/4, Dec
Manastur,149900,,False,True,3, 61, 2/3, Semidec
Calea Turzii,184500,Comision 0%,False,True,2, 55, 2/5, Semidec
Central,349000,,False,True,3, 81, 1/1, Dec
Zorilor,288000,,False,True,2, 57, 4/14, Semidec
Plopilor,244000,,True,True,3, 79.11, 3/10, Dec
Marasti,60000,,False,True,1, 24, 4/4, Dec
Europa,177000,,False,True,3, 71, Demisol/3, Semidec
Central,210000,,False,True,3, 94, 2/2, Dec
Zorilor,235000,,False,True,3, 80, 3/10, Semidec
Manastur,120000,,False,True,2, 40, 4/10, Dec
Zorilor,300000,,True,True,3, 90, 1/2, Dec
Borhanci,137000,,False,True,2, 56, Parter/3, Semidec
Ultracentral,260000,Comision 0%,False,True,3, 79, 2/2, Dec
Europa,285000,,False,True,3, 66, 6/8, Semidec
Manastur,140000,,False,True,4, 65, 2/10, Semidec
Manastur,210000,,False,True,2, 62.5, 7/15, Dec
Manastur,239000,,False,True,4, 105, 9/10, Dec
Manastur,175000,,False,True,3, 76, 3/3, Semidec
Manastur,175000,,False,True,4, 77.33, 2/4, Dec
Calea Turzii,194000,Comision 0%,False,True,2, 55, 2/5, Semidec
Sopor,170000,,False,True,2, 55, Parter, Semidec
Manastur,140000,,False,True,3, 62, 8/10, Dec
Marasti,189000,,False,True,3, 66, 9/9, Dec
Campului,145000,,False,True,3, 67, Parter/4, Dec
Europa,225000,,False,True,3, 68, 2/7, Semidec
Manastur,209000,,False,True,3, 100, 1/2, Dec
Ultracentral,349000,Comision 0%,False,True,2, 81, 1/1, Dec
Dambul Rotund,135000,,False,True,3, 51, 3/3, Semidec
Central,160000,,False,True,2, 44, Parter, Semidec
Manastur,165000,,False,True,3, 68, 2/4, Dec
Manastur,164500,,False,True,4, 86, 4/4, Semidec
Manastur,173000,,False,True,2, 58, 2/6, Semidec
Marasti,75000,,False,True,1, 27, 4/4, Dec
Gheorgheni,239000,,False,True,3, 75, 8/10, Semidec
Manastur,185000,,False,True,3, 65, 8/10, Dec
Central,69000,,False,True,1, 19, Parter/1, Dec
Intre Lacuri,215000,,False,True,3, 65, Parter/4, Dec
Manastur,240000,,False,True,4, 93, Parter/8, Dec
Manastur,159900,,False,True,3, 57, 2/3, Dec
Buna Ziua,275000,,False,True,3, 71, 8/9, Semidec
Intre Lacuri,199000,,False,True,3, 66, 6/6, Semidec
Europa,170000,,False,True,2, 61, 7/7, Semidec
Marasti,200000,,False,True,4, 76, 1/8, Dec
Zorilor,106800,,False,True,1, 38, Parter/4, Dec
Marasti,300000,,False,True,3, 73, 6/6, Semidec
Manastur,180000,,False,True,3, 67, 1/8, Dec
Ultracentral,320000,,False,True,6, 114, Parter/1, Semidec
Dambul Rotund,135000,,False,True,3, 71, 5/6, Semidec
Dambul Rotund,135000,,False,True,2, 47, 1/7, Semidec
Iris,165000,,False,True,3, 65, 2/2, Semidec
Central,360000,,False,True,3, 80, 1/4, Dec
Marasti,360000,Comision 0%,False,True,3, 80, 1/3, Dec
Manastur,155000,,False,True,3, 65, 4/4, Dec
Buna Ziua,245000,,False,True,3, 80, 2/2, Semidec
Manastur,140000,,False,True,3, 65, 4/8, Dec
Manastur,175000,Comision 0%,False,True,3, 66, 2/10, Dec
Grigorescu,240000,,False,True,4, 77.25, 2/4, Semidec
Iris,165000,,False,True,3, 63, 3/7, Dec
Vest,105000,,False,True,2, 52, 2, Semidec
Buna Ziua,179000,,False,True,2, 55, 2/5, Semidec
Marasti,194999,,False,True,3, 66, 9/9, Dec
Gheorgheni,180000,,False,True,3, 65.05, 4/4, Dec
Buna Ziua,219000,,False,True,3, 86, 2/6, Semidec
Buna Ziua,215000,,False,True,2, 56, Parter/8, Dec
Europa,197000,,False,True,2, 57, 6/7, Semidec
Dambul Rotund,117000,,False,True,2, 45, 5/6, Dec
Manastur,119900,,False,True,3, 53, 1/4, Semidec
Central,178000,,False,True,2, 80, Parter, Dec
Manastur,250000,,False,True,4, 100, 2/4, Dec
Marasti,82000,,False,True,1, 33, Parter/1, Semidec
Marasti,123900,,False,True,3, 58.86, 4/6, Semidec
Marasti,157000,,False,True,2, 58, 3/3, Dec
Grigorescu,599000,,False,True,4, 130, Mansarda/1, Semidec
Manastur,76000,,False,True,1, 24, 6/8, Semidec
Horea,151400,,True,True,3, 70.48, 2/6, Semidec
Dambul Rotund,125000,,False,True,2, 55, 4/6, Dec
Dambul Rotund,125000,,False,True,2, 54, 3/5, Dec
Iris,95000,,False,True,1, 36, 10/10, Semidec
Iris,57000,,False,True,1, 34, Mansarda/1, Semidec
Iris,95000,,False,True,2, 44, 3/5, Dec
Europa,392000,,False,True,3, 98.21, 1/2, Semidec
Central,173000,,False,True,2, 47, 2/2, Semidec
Semicentral,110000,,False,True,2, 75, Parter/1, Dec
Buna Ziua,185000,Comision 0%,False,True,2, 55, 2/5, Semidec
Central,155900,,True,True,3, 70.48, 2/6, Semidec
Ultracentral,370000,,False,True,3, 80, 1/1, Semidec
Manastur,120000,,False,True,2, 51, 3/10, Circular]
Manastur,141980,,False,True,3, 67, Parter/4, Dec
Gheorgheni,149000,,False,True,2, 42, 11/11, Semidec
Dambul Rotund,117000,,False,True,3, 49, Parter/4, Semidec
Andrei Muresanu,260000,,False,True,3, 80, 1/8, Dec
Borhanci,333500,,False,True,4, 115, Parter/2, Semidec
Zorilor,299000,,False,True,4, 119, 2/4, Dec
Iris,180000,,False,True,3, 60, 3/10, Semidec
Manastur,150000,,False,True,4, 70, 8/10, Dec
Europa,175000,,False,True,2, 59, Parter/6, Semidec
Iris,118745,,False,True,3, 69.85, 2/3, Semidec
Europa,158000,,False,True,3, 53, 3/5, Semidec
Manastur,189000,,False,True,3, 67, 4/8, Dec
Gheorgheni,217800,Comision 0%,False,True,2, 61.2, 4, Semidec
Marasti,170000,,False,True,2, 52, 6, Dec
Central,165000,,False,True,2, 39, 1/2, Semidec
Manastur,130000,,False,True,3, 65, Parter/10, Dec
Iris,157000,,False,True,3, 66, 1/2, Semidec
Zorilor,135000,,False,True,2, 54.5, 10, Dec
Manastur,104000,,False,True,2, 39.75, 1/10, Dec
Manastur,175000,,False,True,3, 66, 2/10, Dec
Gheorgheni,133000,,False,True,2, 48, Parter/4, Dec
Buna Ziua,138000,,False,True,3, 70, Mansarda/3, Semidec
Iris,129990,,False,True,3, 48, Parter/2, Dec
Marasti,189000,,False,True,3, 66, 9/9, Semidec
Europa,350000,,False,True,4, 100, 3/3, Dec
Marasti,160000,,False,True,3, 64, 4/4, Dec
Zorilor,230000,,False,True,3, 80, 3/6, Dec
Gheorgheni,185000,,False,True,3, 61, 1/4, Dec
Gheorgheni,210000,,False,True,2, 61.31, 4/10, Semidec
Buna Ziua,165000,,False,True,2, 52, Parter/4, Semidec
Manastur,319000,,False,True,5, 176.8, 1/2, Semidec
Manastur,319000,,False,True,5, 176.8, Parter/2, Semidec
Buna Ziua,300000,Comision 0%,True,True,3, 85, 8/8, Semidec
Marasti,220000,,False,True,5, 125, 1/1, Dec
Dambul Rotund,116500,,False,True,3, 50, Parter/2, Semidec
Gheorgheni,122000,,False,True,2, 44, 4/10, Semidec
Central,195000,,False,True,3, 95, 1/2, Semidec
Gruia,147000,,False,True,3, 70, 4/4, Dec
Manastur,208000,,False,True,3, 98, 5/5, Semidec
Iris,118000,,False,True,2, 38, Parter/5, Semidec
Marasti,130000,,False,True,2, 40, 8/9, Dec
Manastur,140000,,False,True,3, 65, 4/4, Dec
Central,129000,,False,True,2, 60, 4/5, Semidec
Manastur,239000,,False,True,4, 93, Parter/8, Dec
Plopilor,235000,Comision 0%,False,True,4, 100, Parter/10, Dec
Marasti,75000,,False,True,1, 27, 4/4, Semidec
Central,187100,,True,True,4, 91, 5/6, Semidec
Europa,374600,,False,True,4, 93.65, 2/2, Semidec
Marasti,200000,,False,True,4, 76, 1/8, Dec
Marasti,200000,Comision 0%,False,True,4, 76, 1/8, Dec
Gheorgheni,289000,,False,True,3, 114, 1/8, Semidec
Marasti,285000,,False,True,3, 113.7, 1/8, Semidec
Dambul Rotund,135000,,False,True,2, 52, 3/6, Dec
Semicentral,199000,,False,True,2, 70, 1/6, Semidec
Manastur,119000,,False,True,3, 61, 2/6, Semidec
Central,395000,,False,True,3, 80, 1/4, Dec
Central,304150,,True,True,3, 86.9, 1/5, Semidec
Manastur,156000,,False,True,3, 61, 2/9, Dec
Manastur,105000,,False,True,2, 57, 6/6, Semidec
Manastur,135000,,False,True,3, 66.5, 4/4, Dec
Manastur,135000,,False,True,3, 63.26, Parter/4, Dec
Vest,159000,Comision 0%,False,True,2, 43.7, 3/7, Semidec
Borhanci,238000,,False,True,3, 69, 2/2, Semidec
Dambul Rotund,132000,,False,True,2, 52, 3/5, Semidec
Campului,109900,,False,True,4, 54, 4/4, Dec
