Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Gheorgheni,175000,,False,True,2, 79, 2/4, Semidec
Europa,202000,,False,True,2, 68, 3/3, Semidec
Manastur,118000,,False,True,2, 45, 3/3, Semidec
Grigorescu,108000,,False,True,1, 39, 3/6, Dec
Aurel Vlaicu,249999,,False,True,4, 80, 2/8, Dec
P-ta Mihai Viteazul,300000,,False,True,3, 70, 8/8, Semidec
Marasti,130000,,False,True,2, 52, Parter/4, Dec
Central,69900,,False,True,1, 42, Demisol/1, Semidec
Iris,131000,,False,True,2, 58.41, 1/9, Semidec
Semicentral,220000,,False,True,3, 60, 5/5, Semidec
Iris,178000,,False,True,3, 53, 4/4, Semidec
Iris,135000,,False,True,3, 56, 5/6, Semidec
Manastur,99800,,False,True,2, 31, Parter/8, Semidec
Zorilor,380800,,False,True,4, 115, 8/14, Semidec
Iris,115000,,False,True,2, 51.02, 4/7, Semidec
Iris,149900,,False,True,2, 61, 6/6, Semidec
Borhanci,192456,,False,True,3, 78.67, 3/3, Semidec
Horea,379999,,False,True,5, 162, 1/3, Dec
Semicentral,165000,,False,True,3, 60, 5/5, Semidec
Iris,159000,,False,True,3, 62, 8/9, Semidec
Central,369000,,False,True,3, 85.81, 2/2, Dec
Zorilor,300000,,False,True,3, 80, 3/6, Semidec
Grigorescu,169900,,False,True,3, 69, 4/4, Dec
Semicentral,228000,,False,True,3, 84.88, Parter/6, Semidec
Manastur,179000,,False,True,4, 107, 4/4, Dec
Europa,285000,,False,True,3, 66, 6/7, Semidec
Marasti,110000,,False,True,1, 40, 4/4, Dec
Manastur,107000,,False,True,2, 40, 4/4, Dec
Iris,130000,,False,True,2, 57.87, 1/9, Semidec
Calea Turzii,308000,,False,True,3, 85, 8/9, Semidec
Central,180000,Comision 0%,False,True,2, 50, Parter/2, Semidec
Iris,79233,Comision 0%,False,True,2, 47.98, Parter/3, Semidec
Plopilor,180000,,False,True,2, 52, 1/4, Semidec
Central,405000,,False,True,3, 121, 3/3, Dec
Central,349000,,False,True,3, 81, 1/2, Dec
Buna Ziua,115000,,False,True,2, 45, 2/5, Semidec
Semicentral,183000,,False,True,2, 58, 12/23, Semidec
Iris,149500,,False,True,2, 55, 2/4, Dec
Central,330000,,False,True,2, 83, 4/5, Semidec
Iris,129000,,False,True,2, 57.43, 8/9, Semidec
Iris,131500,,False,True,2, 58.68, 1/9, Semidec
Intre Lacuri,229999,Comision 0%,False,True,3, 67, 10/10, Semidec
Central,390000,,False,True,5, 170, 1/2, Semidec
Marasti,99000,,False,True,1, 40, 5/5, Dec
Central,349000,,False,True,3, 81, 1/1, Semidec
Manastur,82900,,False,True,2, 35, 4/4, Semidec
Central,300000,,False,True,3, 71.7, 8/8, Semidec
Zorilor,425000,,False,True,4, 105, 6/6, Dec
Semicentral,150000,,False,True,2, 57.7, 2/22, Semidec
Central,170000,,False,True,2, 60, Parter/1, Semidec
Iris,70500,,False,True,2, 37.13, Parter/4, Semidec
Grigorescu,150000,,False,True,3, 65, 4/4, Semidec
Manastur,220000,,False,True,3, 76, 3/3, Semidec
Dambul Rotund,118900,,False,True,2, 48, 6/6, Dec
Grigorescu,449999,,False,True,3, 90, Parter/1, Semidec
Iris,126500,,False,True,2, 55.3, 4/7, Semidec
Gara,168800,,False,True,3, 73.75, 3/6, Semidec
Gheorgheni,220000,,False,True,3, 67.5, 8/10, Semidec
Central,165000,,False,True,2, 50, Parter/1, Dec
Manastur,170000,,False,True,4, 74, Parter/10, Dec
Sopor,145000,,False,True,2, 56, 2/7, Semidec
Manastur,210000,,False,True,3, 82, 1/4, Dec
Grigorescu,234000,,False,True,3, 78, 2/2, Semidec
Marasti,138000,,False,True,2, 64, Parter/8, Dec
Plopilor,172000,,False,True,3, 63, 4/4, Dec
Central,380000,,False,True,3, 78, 1/2, Semidec
Zorilor,189500,,False,True,2, 55, 7/14, Semidec
Sopor,185000,,False,True,3, 74, 1/8, Semidec
Central,259999,,False,True,2, 80, 4/5, Semidec
Marasti,180000,,False,True,2, 55, 6/8, Semidec
Central,140000,,False,True,2, 44, Parter/1, Semidec
Iris,115000,,False,True,3, 61, Parter/2, Dec
Semicentral,190350,,False,True,2, 58, 5/6, Semidec
Campului,139000,,False,True,2, 55, Parter/4, Semidec
Borhanci,225000,,False,True,3, 80, 2/3, Semidec
