Location,Price,Commission,TVA,Rooms,Size,Floor,Composition
Iris,91998,Comision 0%,False,2,55.71, 2/3, Semidec
Buna Ziua,169000,,False,2,65.0, 1/6, Semidec
Gheorgheni,155000,,False,2,50.0, 1/7, Dec
Manastur,112500,,False,3,72.0, Parter/3, Semidec
Manastur,75000,,False,2,49.0, 5/6, Semidec
Manastur,139900,,False,3,60.0, 3/7, Semidec
Central,130000,,False,2,50.0, 1/1, Semidec
Manastur,88900,,False,1,25.0, 8/10, Dec
Manastur,118000,,False,2,45.0, 3/3, Semidec
Manastur,110000,,False,2,46.0, 1/4, Dec
Manastur,164500,,False,4,84.0, 8/8, Semidec
Manastur,100000,,False,2,59.0, 3/4, Semidec
Plopilor,197500,,False,3,82.5, 4/4, Dec
Marasti,110000,,False,2,45.0, 4/5, Semidec
Iris,116785,Comision 0%,False,3,70.72, 1/3, Semidec
Manastur,120000,,False,3,54.0, 1/4, Dec
Dambul Rotund,59000,,False,2,30.0, 3/3, Semidec
Buna Ziua,127000,,False,2,50.0, 2/5, Semidec
Manastur,80000,,False,2,36.0, 4/4, Semidec
Zorilor,140000,,False,3,65.0, 4/4, Dec
Dambul Rotund,46900,,False,2,42.0, Parter/2, Semidec
Marasti,189000,,False,3,63.0, 4/9, Dec
Borhanci,129242,,False,2,53.0, 3/3, Semidec
Semicentral,121500,Comision 0%,True,1,45.36, 3/6, Semidec
Central,235000,Comision 0%,False,3,73.7, 2/7, Dec
Ultracentral,450000,Comision 0%,False,5,106.0, 1/1, Dec
Marasti,157900,,False,2,55.0, 3/8, Semidec
Manastur,103000,,False,2,58.0, 1/3, Semidec
Zorilor,120000,,False,2,46.33, 7/14, Semidec
Sopor,168000,,False,2,42.0, 4/10, Semidec
Iris,110000,,False,3,70.0, 3/4, Semidec
Bulgaria,145000,,False,2,54.0, 6/6, Dec
Marasti,115000,,False,1,38.0, 6/7, Dec
Gheorgheni,145000,,False,2,46.0, 3/4, Semidec
Gheorgheni,107000,,False,1,41.0, 4/8, Dec
Manastur,75000,,False,1,30.0, 6/10, Semidec
Marasti,260000,,False,3,94.0, 5/5, Semidec
Semicentral,187100,Comision 0%,True,4,91.0, 5/6, Dec
Marasti,133000,,False,2,50.0, 4/5, Dec
Zorilor,184500,,False,2,55.0, 2/6, Semidec
Central,164000,,False,2,47.0, 3/3, Semidec
Gheorgheni,150000,,False,2,48.0, 3/10, Semidec
Manastur,145000,,False,2,52.0, 2/4, Dec
Zorilor,80400,,True,1,38.0, 1/4, Dec
Buna Ziua,149000,,False,2,58.0, 2/3, Semidec
Marasti,79000,,False,1,36.0, 1/4, Semidec
Intre Lacuri,295000,,False,3,71.0, 6/10, Dec
Gheorgheni,89400,,False,1,32.0, Parter/10, Dec
Zorilor,184000,,False,2,55.0, 4/10, Semidec
Semicentral,215000,,False,2,74.0, 1/1, Semidec
Marasti,187000,,False,2,59.0, 5/8, Dec
Gheorgheni,132000,,False,2,55.0, Parter/4, Semidec
Grigorescu,170000,,False,3,69.0, 4/4, Dec
Central,195000,,False,3,63.0, 1/4, Semidec
Gheorgheni,150000,,False,2,46.0, 3/4, Semidec
Marasti,64900,,False,1,24.0, 4/4, Dec
Zorilor,165000,,False,3,68.0, Parter/4, Dec
Semicentral,195600,Comision 0%,True,4,99.8, 1/6, Dec
Gheorgheni,119000,,False,2,50.0, Parter/4, Semidec
Zorilor,115000,,False,1,40.0, Parter/8, Circular]
Central,144900,,False,2,40.0, Parter/1, Semidec
Zorilor,119900,,False,1,37.0, 2/3, Dec
Dambul Rotund,89000,,False,2,41.3, 6/6, Semidec
Marasti,167000,Comision 0%,False,2,55.2, 6/8, Semidec
Marasti,77000,Comision 0%,False,1,28.0, 4/8, Dec
Gruia,90000,,False,1,39.0, 3/3, Dec
Gheorgheni,98900,,False,2,44.0, 8/10, Semidec
Buna Ziua,155000,,False,2,52.0, 1/6, Semidec
Gheorgheni,109500,,False,2,46.0, Parter/4, Semidec
Manastur,137000,Comision 0%,False,2,50.0, 1, Semidec
Manastur,92500,,False,1,35.0, 2/5, Dec
Central,117000,,False,1,38.0, 3/3, Dec
Marasti,52000,,False,1,21.0, Parter/4, Semidec
Buna Ziua,184900,,False,2,52.0, 2/5, Dec
Plopilor,164000,Comision 0%,False,2,58.0, 4/6, Dec
Central,320000,Comision 0%,False,5,128.0, 3/3, Dec
